Site,Yparm,method,rows,created,ownername,edited,transfer
BBWY    ,HH     ,GSSHIFT2,3,1-May-14,CSCHWIEGE,15JUL29 0744,....... ....
BBWY    ,Q      ,GSLOG2  ,134,1-May-14,CSCHWIEGE,20JUL18 0510,....... ....
BCBCNE  ,Q      ,GSLOGLOG,23,98APR30,CSCOTT   ,05APR20 0859,....... ....
BCBM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,04JUN24 0852,....... ....
BCBM    ,Q      ,GSLOG2  ,10,88OCT04,NPHELPS  ,04MAR17 1019,....... ....
BCHM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1402,....... ....
BCHM    ,OFF    ,LINEAR  ,2,6-Aug-24,CJORDAN  ,20JAN08 1355,....... ....
BCHM    ,Q      ,GSLOG2  ,148,88OCT04,NPHELPS  ,20AUG27 0510,....... ....
BCIB    ,HH_M   ,GSSHIFT2,3,92JUL21,NPHELPS  ,09SEP04 1402,....... ....
BCIB    ,Q      ,GSLOG2  ,30,88OCT04,LDEAVILA ,08FEB15 0841,....... ....
BCIB    ,Q_M    ,GSLOG2  ,36,88AUG18,NPHELPS  ,09MAY06 1052,....... ....
BCLM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18JAN16 1030,....... ....
BCLM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18JAN16 1030,....... ....
BCLM    ,Q      ,GSLOG2  ,347,88OCT04,NPHELPS  ,16APR22 1109,....... ....
BCWY    ,QC     ,GSLOGLOG,9,6-Apr-05,JDALLING ,18APR18 0659,....... ....
BDCM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1348,....... ....
BDCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19MAY23 0720,....... ....
BDCM    ,Q      ,GSLOG2  ,72,88DEC28,NPHELPS  ,20AUG03 0510,....... ....
BDNE    ,Q      ,LINEAR  ,32,90JUL18,MROUSE   ,11MAY19 0929,....... ....
BESDITCO,QC     ,LINEAR  ,23,91JUN03,MHENNEBER,08MAR17 1048,....... ....
BFCE    ,HJ     ,GSSHIFT2,2,8-Dec-17,LDEAVILA ,16MAY25 1450,....... ....
BFCE    ,QC     ,GSLOG2  ,58,88OCT06,LDEAVILA ,20AUG21 0510,....... ....
BFR     ,ACE    ,ACECOEF ,37,7-Oct-01,JTHIEL   ,10MAR03 0830,....... ....
BFR     ,AF     ,LINEAR  ,147,88MAR03,LDEAVILA ,07OCT02 1003,....... ....
BFWY    ,HH     ,GSSHIFT2,2,8-Dec-17,LDEAVILA ,16JUN23 0851,....... ....
BFWY    ,Q      ,GSLOG2  ,142,96SEP23,LDEAVILA ,20AUG08 0510,....... ....
BHDM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1339,....... ....
BHDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19NOV20 0709,....... ....
BHDM    ,Q      ,GSLOG2  ,63,88OCT04,NPHELPS  ,19SEP11 0510,....... ....
BHGM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1340,....... ....
BHGM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19JUN24 0838,....... ....
BHGM    ,Q      ,GSLOG2  ,63,88OCT04,NPHELPS  ,20MAR05 0510,....... ....
BHMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1406,....... ....
BHMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0833,....... ....
BHMT    ,Q      ,GSLOG2  ,113,88OCT05,NPHELPS  ,20JUL09 0510,....... ....
BHR     ,ACE    ,ACECOEF ,39,89MAY08,NPHELPS  ,11JAN05 0830,....... ....
BHR     ,ACEOLD ,ACECOEF ,41,89MAY08,NPHELPS  ,11JAN03 0742,....... ....
BHR     ,OLD    ,LINEAR  ,180,87JAN14,NPHELPS  ,95AUG02 0718,....... ....
BHREW   ,       ,GSLOGLOG,125,18-Mar-23,JDALLING ,18MAR23 0921,....... ....
BHRW    ,Q      ,GSLOGLOG,10,2-Apr-22,JDALLING ,18APR26 0700,....... ....
BHSX    ,ACE    ,ACECOEF ,27,89MAY08,NPHELPS  ,03OCT07 0910,....... ....
BHSX    ,HH     ,GSSHIFT2,3,92JUL21,CJORDAN  ,20SEP15 0910,....... ....
BHSX    ,HJ     ,GSSHIFT2,2,92JUL21,CJORDAN  ,20SEP02 0900,....... ....
BHSX    ,OFF    ,LINEAR  ,2,6-Aug-24,CJORDAN  ,18DEC20 1053,....... ....
BHSX    ,OLD    ,LINEAR  ,180,89JUL13,NPHELPS  ,03OCT07 0910,....... ....
BHSX    ,QC     ,GSLOG2  ,8,88OCT06,NPHELPS  ,13DEC19 1409,....... ....
BHSX    ,QC1    ,GSLOGLOG,6,88OCT06,NPHELPS  ,13AUG06 0953,....... ....
BHSX    ,QR     ,GSLOG2  ,28,88OCT04,NPHELPS  ,11AUG12 1103,....... ....
BHSX    ,QR1    ,GSLOGLOG,28,88OCT04,NPHELPS  ,06NOV21 1114,....... ....
BHWM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,16JUN06 1347,....... ....
BHWM    ,OFF    ,LINEAR  ,5,6-Aug-24,KWEIDICH ,20JUN19 0719,....... ....
BHWM    ,Q      ,GSLOG2  ,56,88OCT04,NPHELPS  ,20AUG01 0510,....... ....
BHWY    ,       ,GSLOGLOG,5,18-Apr-18,JDALLING ,18APR18 0709,....... ....
BHWY    ,QC     ,GSLOGLOG,5,6-Apr-05,JDALLING ,18APR18 0709,....... ....
BIL     ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14JUL28 1500,....... ....
BIL     ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20JUL31 0831,....... ....
BIL     ,Q      ,GSLOG2  ,140,88AUG16,NPHELPS  ,20SEP09 0510,....... ....
BLAY    ,HH     ,GSSHIFT2,3,92JUL21,CSCHWIEGE,15AUG19 0734,....... ....
